org_study_id,nct_id,brief_title,official_title,overall_status,start_date,completion_date.text,completion_date..attrs,completion_date_type,lead_sponsor/agency,overall_official.last_name,overall_official.role,overall_official.affiliation,phase,study_type,enrollment.text,enrollment..attrs,primary_condition,primary_outcome,eligibility.gender,eligibility.minimum_age,eligibility.maximum_age,eligibility.healthy_volunteers,sponsors.lead_sponsor.agency,sponsors.lead_sponsor.agency_class,date_disclaimer,completion_date,overall_official.last_name.1,overall_official.role.1,overall_official.affiliation.1,enrollment,primary_outcome.measure,primary_outcome.measure.1,sponsors.collaborator.agency,sponsors.collaborator.agency_class,sponsors.collaborator.agency.1,sponsors.collaborator.agency_class.1,name,primary_outcome.time_frame,primary_outcome.time_frame.1,primary_outcome.measure.2,sponsors.collaborator.agency.2,sponsors.collaborator.agency_class.2,primary_outcome.measure.3,primary_outcome.measure.4,primary_outcome.measure.5,sponsors.collaborator.agency.3,sponsors.collaborator.agency_class.3,sponsors.collaborator.agency.4,sponsors.collaborator.agency_class.4,primary_outcome.description,overall_official.last_name.2,overall_official.role.2,overall_official.affiliation.2,overall_official.last_name.3,overall_official.role.3,overall_official.affiliation.3,primary_outcome.measure.6,primary_outcome.measure.7,measure,eligibility.sampling_method,eligibility.textblock.1,overall_official.last_name.4,overall_official.role.4,overall_official.affiliation.4,primary_outcome.description.1,primary_outcome.time_frame.2,primary_outcome.description.2,primary_outcome.time_frame.3,primary_outcome.description.3,start_date.text,start_date..attrs,primary_outcome.time_frame.4,primary_outcome.description.4,primary_outcome.time_frame.5,primary_outcome.description.5,primary_outcome.time_frame.6,primary_outcome.description.6,primary_outcome.time_frame.7,primary_outcome.description.7,primary_outcome.measure.8,primary_outcome.time_frame.8,primary_outcome.description.8,primary_outcome.measure.9,primary_outcome.time_frame.9,primary_outcome.description.9,primary_outcome.measure.10,primary_outcome.time_frame.10,primary_outcome.description.10,primary_outcome.measure.11,primary_outcome.time_frame.11,primary_outcome.description.11,sponsors.collaborator.agency.5,sponsors.collaborator.agency_class.5,sponsors.collaborator.agency.6,sponsors.collaborator.agency_class.6,overall_official.last_name.5,overall_official.role.5,overall_official.affiliation.5,overall_official.last_name.6,overall_official.role.6,overall_official.affiliation.6,overall_official.last_name.7,overall_official.role.7,overall_official.affiliation.7,overall_official.last_name.8,overall_official.role.8,overall_official.affiliation.8,sponsors.collaborator.agency.7,sponsors.collaborator.agency_class.7,sponsors.collaborator.agency.8,sponsors.collaborator.agency_class.8,sponsors.collaborator.agency.9,sponsors.collaborator.agency_class.9,sponsors.collaborator.agency.10,sponsors.collaborator.agency_class.10,sponsors.collaborator.agency.11,sponsors.collaborator.agency_class.11,address.city,primary_outcome.measure.12,primary_outcome.time_frame.12,eligibility.gender_based,eligibility.gender_description,overall_official.last_name.9,overall_official.role.9,overall_official.affiliation.9
999906147,NCT00346346,"Analysis of the Immune Response to the Malaria Parasite in Mali, West Africa",Longitudinal Analysis of the B-Cell Immune Response to Plasmodium Falciparum in Mali,Completed,"April 17, 2006",NA,NA,NA,National Institute of Allergy and Infectious Diseases (NIAID),"Peter D Crompton, M.D.",Principal Investigator,National Institute of Allergy and Infectious Diseases (NIAID),N/A,Observational,237,Anticipated,Malaria,NA,All,2 Years,25 Years,No,National Institute of Allergy and Infectious Diseases (NIAID),NIH,"ClinicalTrials.gov processed this data on July 26, 2017","January 23, 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Malaria Research and Training Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
999907217,NCT00527163,Role of Nitric Oxide in Malaria,Role of Nitric Oxide Scavenging by Plasma Hemoglobin and Identification of Hemolysis-Associated Pulmonary Hypertension in Malaria,Completed,"September 4, 2007",NA,NA,NA,"National Heart, Lung, and Blood Institute (NHLBI)","Henry Masur, M.D.",Principal Investigator,National Institutes of Health Clinical Center (CC),N/A,Observational,650,Anticipated,Malaria; Pulmonary Hypertension,NA,All,1 Year,5 Years,No,"National Heart, Lung, and Blood Institute (NHLBI)",NIH,"ClinicalTrials.gov processed this data on July 26, 2017","March 30, 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hospital Gabriel Toure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
999908094,NCT00663546,Malaria Studies in Cambodia,Studies of P. Vivax and P. Falciparum Malaria in Cambodia,Completed,"March 24, 2008",NA,NA,NA,National Institute of Allergy and Infectious Diseases (NIAID),"Rick M Fairhurst, M.D.",Principal Investigator,National Institute of Allergy and Infectious Diseases (NIAID),N/A,Observational,2765,Anticipated,Malaria,NA,All,N/A,100 Years,Accepts Healthy Volunteers,National Institute of Allergy and Infectious Diseases (NIAID),NIH,"ClinicalTrials.gov processed this data on July 26, 2017","December 5, 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
999908120,NCT00669084,Innate and Acquired Resistance to Plasmodium Falciparum Malaria in Mali,Studies of Innate and Acquired Resistance to P. Falciparum Malaria in Mali,Completed,"April 21, 2008",NA,NA,NA,National Institute of Allergy and Infectious Diseases (NIAID),"Rick M Fairhurst, M.D.",Principal Investigator,National Institute of Allergy and Infectious Diseases (NIAID),N/A,Observational,2100,Anticipated,Malaria,NA,All,6 Months,65 Years,Accepts Healthy Volunteers,National Institute of Allergy and Infectious Diseases (NIAID),NIH,"ClinicalTrials.gov processed this data on July 26, 2017","November 19, 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"University of Bamako, Faculty of Medicine, Pharmacy and Odontostomatology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST3073-ST3074-DM-12-002,NCT01992900,A Pharmacokinetic/Pharmacodynamic Study of Eurartesim Dispersible Formulation in Infants With P.Falciparum Malaria,"A Phase II, Open-label, Multicentre, Pharmacokinetic, Pharmacodynamics and Safety Study of a New Paediatric Eurartesim Dispersible Formulation and Crushed Film Coated Eurartesim Tablet, in Infant Patients With P. Falciparum Malaria",Completed,November 2013,January 2016,Actual,Actual,sigma-tau i.f.r. S.p.A.,"Enrique O Bassat, MD",Study Chair,"Manica's health Research Centre, centre de investigacao Saude-Manica (CISM)",Phase 2,Interventional,300,Actual,"Malaria,Falciparum",NA,All,6 Months,12 Months,No,sigma-tau i.f.r. S.p.A.,Industry,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,Comparison of peak plasma concentration of Dihydroartemisinin in the two studied formulations,Comparison of area under the plasma concentration versus time curve of Dihydroartemisinin in the two studied formulations.,NA,NA,NA,NA,NA,"DHA plasma samples will be collected on the first day of study drug administration at 20, 30, 40, 60, 100, 200 and 300 minutes post-dose","DHA plasma samples will be collected on the first day of study drug administration at 20, 30, 40, 60, 100, 200 and 300 minutes post-dose",Comparison of peak plasma concentration of Piperaquine in the two studied formulations,NA,NA,Comparison of area under the plasma concentration versus time curve of Piperaquine in the two studied formulations.,NA,NA,NA,NA,NA,NA,"In order to minimize the blood sampling in infants, patients will be divided into 10 blood sampling groups for both the treatments (water dispersible and crushed film coated tablet) and only 2 blood draws per group will be taken within the prespecified timepoints.
Optimal sampling design was performed by using the appropriate software. The D-optimal design option was used to determine the optimal sampling design.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"In order to minimize the blood sampling in infants, patients will be divided into 10 blood sampling groups for both the treatments (water dispersible and crushed film coated tablet) and only 2 blood draws per group will be taken within the pre-specified timepoints.
Optimal sampling design was performed by using the appropriate software. The D-optimal design option was used to determine the optimal sampling design.","PQP plasma samples will be collected on day 0 of treatment at 40, 80, 280, 720 minutes, then on day 1 at 24 hours and on day 2 at 40, 80, 280, 720 minutes after the last drug administration and then 24, 120, 288 and 456 hours","In order to minimize the blood sampling in infants, patients will be divided into 10 blood sampling groups for both the treatments (water dispersible and crushed film coated tablet) and only 2 blood draws per group will be taken within the pre-specified timepoints.
Optimal sampling design was performed by using the appropriate software. The D-optimal design option was used to determine the optimal sampling design.","PQP plasma samples will be collected on day 0 of treatment at 40, 80, 280, 720 minutes, then on day 1 at 24 hours and on day 2 at 40, 80, 280, 720 minutes after the last drug administration and then 24, 120, 288 and 456 hours","In order to minimize the blood sampling in infants, patients will be divided into 10 blood sampling groups for both the treatments (water dispersible and crushed film coated tablet) and only 2 blood draws per group will be taken within the pre-specified timepoints.
Optimal sampling design was performed by using the appropriate software. The D-optimal design option was used to determine the optimal sampling design.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MVDC-2003-003,NCT01083095,Establishment of a Sporozoite Challenge Model for Plasmodium Vivax in Human Volunteers,Establishment of a Sporozoite Challenge Model for Plasmodium Vivax in Human Volunteers,Completed,January 2005,December 2006,Actual,Actual,Malaria Vaccine and Drug Development Center,"Socrates Herrera, MD",Principal Investigator,MVDC,Early Phase 1,Interventional,18,Actual,"Malaria, Vivax",NA,All,18 Years,50 Years,Accepts Healthy Volunteers,Malaria Vaccine and Drug Development Center,Other,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,Percentage of infected naïve human volunteers after different number of infected mosquito biting,NA,"Ministerio de la Protección Social, Colombia.",Other,NA,NA,Malaria Vaccine and Drug Testing Center,30 days,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MiPcMA05,NCT01084213,Intermittent Preventive Treatment Versus Scheduled Screening and Treatment of Malaria in Pregnancy,A Trial of Intermittent Preventive Treatment With Sulfadoxine-pyrimethamine Versus Intermittent Screening and Treatment of Malaria in Pregnancy,Completed,June 2010,October 2012,Actual,Actual,London School of Hygiene and Tropical Medicine,"Brian Greenwood, MD",Principal Investigator,"London School of Hygiene & Tropical Medicine, UK.",Phase 4,Interventional,5354,Actual,Malaria; Pregnancy; Anaemia,NA,Female,16 Years,45 Years,No,London School of Hygiene and Tropical Medicine,Other,"ClinicalTrials.gov processed this data on July 26, 2017",NA,"Daniel Chandramohan, PhD",Principal Investigator,"London School of Hygiene & Tropical Medicine, UK.",NA,Prevalence of low birth weight,Prevalence of third trimester anaemia,"Medical Research and Training Centre, Mali",Other,"University of Ouagadougou, Burkina Faso",Other,NA,6 - 18 months,3 - 12 months,Prevalence of placenta malaria,"Medical Research Council Unit, The Gambia",Other,NA,NA,NA,"Navrongo Health Research Centre, Ghana",Other,Liverpool School of Tropical Medicine,Other,NA,"Paul Milligan, PhD",Principal Investigator,"London School of Hygiene & Tropical Medicine, UK.","Feiko T Kuile, PhD",Principal Investigator,"Liverpool School of Tropical Medicine, UK",NA,NA,NA,NA,NA,"Harry Tagbor, DrPH",Principal Investigator,"Kwame Nkrumah University of Science & Technology, School of Medical Sciences, Ghana",NA,6 - 18 months,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
999910155,NCT01160562,"Pilot Study to Estimate the Burden and Distribution of Plasmodium Falciparum Malaria in Kalifabougou, Mali in Preparation for a Prospective Cohort Study of Naturally-Acquired Malaria Immunity","Pilot Study to Estimate the Burden and Distribution of Plasmodium Falciparum Malaria in Kalifabougou, Mali in Preparation for a Prospective Cohort Study of Naturally-Acquired Malaria Immunity",Completed,"June 23, 2010",NA,NA,NA,National Institute of Allergy and Infectious Diseases (NIAID),"Peter D Crompton, M.D.",Principal Investigator,National Institute of Allergy and Infectious Diseases (NIAID),N/A,Observational,4000,Anticipated,"Malaria, Falciparum; Plasmodium Falciparum",NA,All,N/A,25 Years,No,National Institute of Allergy and Infectious Diseases (NIAID),NIH,"ClinicalTrials.gov processed this data on July 26, 2017","January 23, 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Malaria Research and Training Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
999911017,NCT01240603,Plasmodium Falciparum Clearance Rates in Response to Artesunate in Eastern Cambodia,Plasmodium Falciparum Clearance Rates in Response to Artesunate in Eastern Cambodia,Completed,"October 24, 2010",NA,NA,NA,National Institute of Allergy and Infectious Diseases (NIAID),"Rick M Fairhurst, M.D.",Principal Investigator,National Institute of Allergy and Infectious Diseases (NIAID),N/A,Observational,415,Anticipated,Malaria,NA,All,1 Year,N/A,No,National Institute of Allergy and Infectious Diseases (NIAID),NIH,"ClinicalTrials.gov processed this data on July 26, 2017","September 11, 2013",NA,NA,NA,NA,NA,NA,"National Centre for Parasitology, Entomology and Malaria Control, Cambodia",Other,NA,NA,"National Center for Parasitology, Entomology, and Malaria Controk, Ministry of H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAACT-PV,NCT01107145,Efficacy of Artemisinin Combination Therapies for the Treatment of Uncomplicated P. Vivax in Pregnancy in Brazil (PAACT-PV),"A Multi-center, Open-label, Randomized Trial of Chloroquine, Artemether-Lumefantrine, and Mefloquine-Artesunate for the Treatment of Uncomplicated P. Vivax Malaria in Pregnant Women in Brazil",Terminated,February 2011,January 2012,Actual,Actual,Centers for Disease Control and Prevention,"Meghna Desai, MPH PhD",Principal Investigator,Centers for Disease Control and Prevention,Phase 4,Interventional,16,Actual,Plasmodium Vivax Malaria,NA,Female,15 Years,N/A,No,Centers for Disease Control and Prevention,U.S. Fed,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,63-day PCR-adjusted parasitological cure of P. vivax,NA,NA,NA,NA,NA,NA,63 days,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63-day PCR-adjusted parasitological cure of P. vivax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SP-C-010-10,NCT01156389,Pyronaridine/Artesunate -Ritonavir Drug Drug Interaction Study,"Open-label, Randomised, Drug Interaction Study of Pyramax (Pyronaridine Artesunate) and the Protease Inhibitor Ritonavir in Healthy Volunteers",Completed,July 2010,September 2010,Actual,Actual,Medicines for Malaria Venture,"Isabelle Borghini Fuhrer, PhD",Study Director,Medicines for Malaria Venture,Phase 1,Interventional,34,Anticipated,Malaria,NA,All,18 Years,55 Years,Accepts Healthy Volunteers,Medicines for Malaria Venture,Other,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,Pharmacokinetics,NA,Shin Poong Pharmaceuticals,Industry,NA,NA,Covance Clinical Research Unit AG,Until Day 50 for Arm A and until Day 43 for Arm B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pharmacokinetic parameters for pyronaridine, artesunate, DHA and ritonavir will be analysed.
Cmax, C trough, Tmax, AUC0-tau AUC0-t, AUC0-infinity and half-life will be calculated.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
999911143,NCT01360112,Preventing the Spread of Malaria in Mali,Malaria Transmission Blocking Assay Development and Gametocyte Carriage in a Vaccine Testing Site in Mali,Completed,"April 16, 2011",NA,NA,NA,National Institute of Allergy and Infectious Diseases (NIAID),"Sara A Healy, M.D.",Principal Investigator,National Institute of Allergy and Infectious Diseases (NIAID),N/A,Observational,1000,Anticipated,Malaria,NA,All,3 Months,50 Years,Accepts Healthy Volunteers,National Institute of Allergy and Infectious Diseases (NIAID),NIH,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,"a) Mosquito infectivity by DF, DMFA (a, b, and c), and SMFA (d and e), as measured by infection rate (number of infected vs. un- nfected mosquitoes), and oocyst counts in infected mosquitoes, both determined using microscopy.","b) The period prevalence and density of gametocytes throughout the study period, as detected by thick smear and nucleic acid based techniques",NA,NA,NA,NA,"University of Bamako, Faculty of Medicine, Pharmacy and Odontostomatology",24 months,24 months,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140121,NCT02153996,Longitudinal Analysis of Plasmodium Falciparum-Specific Immunity in Travelers and Immigrants From Malaria Endemic Areas to the United States,Longitudinal Analysis of Plasmodium Falciparum-Specific Immunity in Travelers and Immigrants From Malaria Endemic Areas to the United States,Terminated,"May 15, 2014","March 15, 2016",Actual,Actual,National Institute of Allergy and Infectious Diseases (NIAID),"Eugene W Liu, M.D.",Principal Investigator,National Institute of Allergy and Infectious Diseases (NIAID),N/A,Observational,3,Actual,Malaria,NA,All,18 Years,65 Years,Accepts Healthy Volunteers,National Institute of Allergy and Infectious Diseases (NIAID),NIH,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,Estimate the quality and longevity of P. falciparum-specific humoral and cellular immune responses in the absence of ongoing P. falciparum exposure.,NA,NA,NA,NA,NA,"National Institutes of Health Clinical Center, 9000 Rockville Pike",Five years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCC1488,NCT02878200,"RHOST-cRCT, Reactive Household-based Self-administered Treatment Against Residual Malaria Transmission",Reactive Household-based Self-administered Treatment Against Residual Malaria Transmission: a Cluster Randomized Trial,Recruiting,November 2016,December 2018,Anticipated,Anticipated,"Medical Research Council Unit, The Gambia","Umberto D'Alessandro, MD",Principal Investigator,"Medical Research Council Unit, The Gambia",N/A,Interventional,8000,Anticipated,Malaria,NA,All,6 Months,N/A,Accepts Healthy Volunteers,"Medical Research Council Unit, The Gambia",Other,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,prevalence of malaria infection,NA,"Institute of Tropical Medicine, Belgium",Other,London School of Hygiene and Tropical Medicine,Other,Health Centres in NBR,24 months,NA,NA,University of Sheffield,Other,NA,NA,NA,NA,NA,NA,NA,the prevalence of malaria infection (determined by molecular methods) in all age groups at the end of the second intervention year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAKMAL1407,NCT02451904,Severe and Cerebral Malaria Investigated Through Host Metabolomics,Microvascular and Metabolic Dysregulation in the Pathogenesis of Severe and Cerebral Malaria Investigated Through Host Metabolomics,Not yet recruiting,June 2015,September 2018,Anticipated,Anticipated,University of Oxford,"Prof. Arjen M. Dondorp, MD",Principal Investigator,Mahidol Oxford Tropical Medicine Research Unit,N/A,Observational,840,Anticipated,Severe Malaria,NA,All,12 Years,N/A,Accepts Healthy Volunteers,University of Oxford,Other,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,Characterisation of patterns of metabolic dysregulation in severe malaria,NA,Chittagong Medical College and Hospital,Other,NA,NA,NA,4-6 weeks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Interrelationship between disturbances in metabolic pathways associated with acidosis and cerebral malaria,NA,NA,NA,NA,NA,NA,NA,NA,Characterisation of patterns of metabolic dysregulation in severe malaria,Non-Probability Sample,"
        Severe/Cerebral Malaria:

          -  Any P. falciparum parasitaemia detected by asexual stages on a peripheral blood-slide
             or a positive rapid diagnostic test in combination with one or more Modified WHO
             Criteria for Severe Malaria (Hien et al, 1996)

          -  < 24 hours after treatment commencement with either parenteral artemisinin or quinine

          -  Age > 12 years

          -  Full informed written consent obtained

        Uncomplicated malaria:

          -  Any level of Plasmodium parasitaemia, detected by asexual stages on a peripheral
             blood-slide or a positive rapid diagnostic test without any of the complications of
             severe malaria stated above.

          -  Age > 12 years

          -  Full informed written consent obtained

        Sepsis:

          -  Clinical signs of infection in combination with any two of the following signs:

               1. Heart rate > 90 beats per minute;

               2. Respiratory rate > 20 breaths per minute, a PaCO2 of < 32 mmHg, or the use of
                  mechanical ventilation for an acute respiratory process;

               3. Tympanic temperature > 38°C or < 36 °C;

               4. White-cell count of > 12x109/L or < 4x109/L, or a differential count showing 10%
                  immature neutrophils ;

          -  Negative peripheral blood slide for any stages of malaria parasites or a negative
             rapid diagnostic test for falciparum and vivax malaria

          -  [As bacterial culture is not routinely available at the study site, positivity of
             cultures is not required]

          -  Age > 12 years

          -  Full informed written consent obtained

        Acidosis:

          -  Clinical suspicion of metabolic acidosis in combination with any of the following:

               1. Peripheral venous bicarbonate < 15 mmol/L

               2. Peripheral venous base excess < -3 mmol/L

          -  Negative peripheral blood slide for any stages of malaria parasites or a negative
             rapid diagnostic test for falciparum and vivax malaria; and not meeting any of the
             inclusion criteria for sepsis as stated above.

          -  Age > 12 years

          -  Full informed written consent obtained

        Encephalitis:

          -  GCS < 11/15

          -  Documented fever > 38°C

          -  Onset of symptoms < 2 weeks, with an indication a lumbar puncture as part of the
             diagnostic work up

          -  Negative peripheral blood slide for any stages of malaria parasites or a negative
             rapid diagnostic test for falciparum and vivax malaria

          -  Age > 12 years

          -  Full informed written consent obtained

        Healthy volunteers:

          -  No chronic or acute disease

          -  No fever in the past 2 weeks

          -  Age > 16 years

          -  Full informed written consent obtained

        Exclusion Criteria:

          -  Known pre-existing chronic medical conditions including advanced hepatic disease.
      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
