org_study_id,nct_id,brief_title,official_title,overall_status,lead_sponsor/agency,overall_official.last_name,overall_official.role,overall_official.last_name.1,overall_official.role.1,phase,study_type,enrollment,primary_condition,eligibility.gender,eligibility.minimum_age,eligibility.maximum_age,eligibility.healthy_volunteers,sponsors.lead_sponsor.agency,sponsors.lead_sponsor.agency_class,date_disclaimer,completion_date.text,completion_date..attrs,completion_date_type,overall_official.last_name.2,overall_official.role.2,overall_official.last_name.3,overall_official.role.3,start_date,overall_official.affiliation,sponsors.collaborator.agency,sponsors.collaborator.agency_class,completion_date,primary_outcome,enrollment.text,enrollment..attrs,eligibility.sampling_method,eligibility.textblock.1,name,overall_official.affiliation.1,overall_official.affiliation.2,primary_outcome.measure,primary_outcome.time_frame,primary_outcome.measure.1,primary_outcome.time_frame.1,primary_outcome.description,primary_outcome.description.1,sponsors.collaborator.agency.1,sponsors.collaborator.agency_class.1,sponsors.collaborator.agency.2,sponsors.collaborator.agency_class.2,measure,primary_outcome.measure.2,sponsors.collaborator.agency.3,sponsors.collaborator.agency_class.3,sponsors.collaborator.agency.4,sponsors.collaborator.agency_class.4,sponsors.collaborator.agency.5,sponsors.collaborator.agency_class.5,overall_official.affiliation.3,overall_official.last_name.4,overall_official.role.4,overall_official.affiliation.4,primary_outcome.time_frame.2,primary_outcome.measure.3,primary_outcome.time_frame.3,primary_outcome.description.2,primary_outcome.description.3,primary_outcome.measure.4,primary_outcome.time_frame.4,primary_outcome.description.4,primary_outcome.measure.5,primary_outcome.time_frame.5,primary_outcome.description.5,overall_official.last_name.5,overall_official.role.5,overall_official.affiliation.5,overall_official.last_name.6,overall_official.role.6,overall_official.affiliation.6,overall_official.last_name.7,overall_official.role.7,overall_official.affiliation.7,overall_official.last_name.8,overall_official.role.8,overall_official.affiliation.8,overall_official.last_name.9,overall_official.role.9,overall_official.affiliation.9,overall_official.last_name.10,overall_official.role.10,overall_official.affiliation.10,overall_official.last_name.11,overall_official.role.11,overall_official.affiliation.11,overall_official.last_name.12,overall_official.role.12,overall_official.affiliation.12,overall_official.last_name.13,overall_official.role.13,overall_official.affiliation.13,sponsors.collaborator.agency.6,sponsors.collaborator.agency_class.6,primary_outcome.measure.6,primary_outcome.time_frame.6,primary_outcome.description.6,primary_outcome.measure.7,primary_outcome.time_frame.7,primary_outcome.description.7,primary_outcome.measure.8,primary_outcome.time_frame.8,primary_outcome.description.8,primary_outcome.measure.9,primary_outcome.time_frame.9,primary_outcome.description.9,sponsors.collaborator.agency.7,sponsors.collaborator.agency_class.7,sponsors.collaborator.agency.8,sponsors.collaborator.agency_class.8,primary_outcome.measure.10,primary_outcome.time_frame.10,primary_outcome.description.10,primary_outcome.measure.11,primary_outcome.time_frame.11,primary_outcome.description.11,primary_outcome.measure.12,primary_outcome.time_frame.12,primary_outcome.description.12,start_date.text,start_date..attrs,sponsors.collaborator.agency.9,sponsors.collaborator.agency_class.9,sponsors.collaborator.agency.10,sponsors.collaborator.agency_class.10,sponsors.collaborator.agency.11,sponsors.collaborator.agency_class.11,sponsors.collaborator.agency.12,sponsors.collaborator.agency_class.12,sponsors.collaborator.agency.13,sponsors.collaborator.agency_class.13,sponsors.collaborator.agency.14,sponsors.collaborator.agency_class.14,primary_outcome.measure.13,primary_outcome.time_frame.13,primary_outcome.description.13,primary_outcome.measure.14,primary_outcome.time_frame.14,primary_outcome.description.14,primary_outcome.measure.15,primary_outcome.time_frame.15,primary_outcome.description.15,primary_outcome.measure.16,primary_outcome.time_frame.16,primary_outcome.description.16,sponsors.collaborator.agency.15,sponsors.collaborator.agency_class.15,sponsors.collaborator.agency.16,sponsors.collaborator.agency_class.16,sponsors.collaborator.agency.17,sponsors.collaborator.agency_class.17,sponsors.collaborator.agency.18,sponsors.collaborator.agency_class.18,sponsors.collaborator.agency.19,sponsors.collaborator.agency_class.19,sponsors.collaborator.agency.20,sponsors.collaborator.agency_class.20,sponsors.collaborator.agency.21,sponsors.collaborator.agency_class.21,sponsors.collaborator.agency.22,sponsors.collaborator.agency_class.22,sponsors.collaborator.agency.23,sponsors.collaborator.agency_class.23,sponsors.collaborator.agency.24,sponsors.collaborator.agency_class.24,sponsors.collaborator.agency.25,sponsors.collaborator.agency_class.25,sponsors.collaborator.agency.26,sponsors.collaborator.agency_class.26,sponsors.collaborator.agency.27,sponsors.collaborator.agency_class.27,sponsors.collaborator.agency.28,sponsors.collaborator.agency_class.28,sponsors.collaborator.agency.29,sponsors.collaborator.agency_class.29,sponsors.collaborator.agency.30,sponsors.collaborator.agency_class.30,sponsors.collaborator.agency.31,sponsors.collaborator.agency_class.31,sponsors.collaborator.agency.32,sponsors.collaborator.agency_class.32,sponsors.collaborator.agency.33,sponsors.collaborator.agency_class.33,address.city,primary_outcome.measure.17,primary_outcome.time_frame.17,primary_outcome.description.17,primary_outcome.measure.18,primary_outcome.time_frame.18,primary_outcome.description.18,primary_outcome.measure.19,primary_outcome.time_frame.19,primary_outcome.description.19,eligibility.gender_based,eligibility.gender_description,primary_outcome.measure.20,primary_outcome.time_frame.20,primary_outcome.description.20,primary_outcome.measure.21,primary_outcome.time_frame.21,primary_outcome.description.21,primary_outcome.measure.22,primary_outcome.time_frame.22,primary_outcome.description.22,primary_outcome.measure.23,primary_outcome.time_frame.23,primary_outcome.description.23,primary_outcome.measure.24,primary_outcome.time_frame.24,primary_outcome.description.24,primary_outcome.measure.25,primary_outcome.time_frame.25,primary_outcome.description.25,primary_outcome.measure.26,primary_outcome.time_frame.26,primary_outcome.description.26
1R01AI049139-01A1,NCT00054769,Diagnosing Tuberculosis in HIV Infected Children in Peru,"Diagnostics For AIDS-Related Pediatric TB, Peru",Completed,National Institute of Allergy and Infectious Diseases (NIAID),"Richard A. Oberhelman, MD",Principal Investigator,NA,NA,N/A,Observational,760,"Tuberculosis; Tuberculosis, Pulmonary; HIV Infections",All,N/A,12 Years,Accepts Healthy Volunteers,National Institute of Allergy and Infectious Diseases (NIAID),NIH,"ClinicalTrials.gov processed this data on July 26, 2017",February 2007,Actual,Actual,NA,NA,NA,NA,March 2002,Tulane School of Public Health and Tropical Medicine,NA,NA,NA,NA,NA,NA,NA,NA,Instituto de Salud del Nino,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1R01AI051219-01A2,NCT00078247,Anti-HIV Drugs for Ugandan Patients With HIV and Tuberculosis,Delaying HIV Disease Progression With Punctuated Antiretroviral Therapy in HIV-Associated Tuberculosis,Completed,National Institute of Allergy and Infectious Diseases (NIAID),"Christopher C. Whalen, MD",Principal Investigator,"Roy Mugerwa, MD",Principal Investigator,Phase 3,Interventional,NA,HIV Infections; Tuberculosis,All,13 Years,60 Years,No,National Institute of Allergy and Infectious Diseases (NIAID),NIH,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,"Diane Havlir, MD",Principal Investigator,NA,NA,October 2004,Case Western Reserve University,Makerere University,Other,NA,NA,350,Anticipated,NA,NA,Makerere University Medical School,Makerere University,"University of California, San Francisco",CD4+ decline (slope),Throughout study,Time to AIDS,Throughout study,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIPRA-SA Project 3A,NCT00096681,"Prevalence of HIV and Tuberculosis in Masiphumelele Township, Cape Town, South Africa",Protocol for Cross-Sectional Survey of Acid-Fast Bacilli (AFB) Smear Positive and/or Culture Positive Tuberculosis in the Masiphumelele Township,Completed,CIPRA SA,"Linda Gail Bekker, MBChB, FCP, PhD",Study Chair,"James McIntyre, MBChB, MRCOG",Principal Investigator,N/A,Observational,NA,HIV Infections; Tuberculosis,All,15 Years,N/A,Accepts Healthy Volunteers,CIPRA SA,Other,"ClinicalTrials.gov processed this data on July 26, 2017",February 2006,Actual,Actual,NA,NA,NA,NA,February 2005,"Department of Medicine, University of Cape Town",National Institute of Allergy and Infectious Diseases (NIAID),NIH,NA,NA,762,Actual,Probability Sample,"
        Inclusion Criteria:

          -  Resident of the Masiphumelele township for at least 1 week prior to study entry

          -  Willing to provide informed consent

          -  Willing to comply with study requirements
      ",NA,"University of the Witwatersrand and Perinatal HIV Research Unit, Chris Hani Baragwanath Hospital",NA,Number of Participants With Microbiologically Confirmed Pulmonary Tuberculosis,Pulmonary Tuberculosis diagnosed from sputum sample obtained at the study visit,NA,NA,Confirmed Pulmonary Tuberculosis based on the sputum smear and culture results. The sputum sample was obtained at the once off study visit.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRS SCC965,NCT00130325,A Trial of Isoniazid for the Reversion of Interferon Gamma ELISPOT in Tuberculosis (TB) Case Contacts,A Double Blind Placebo-controlled Randomized Trial of Isoniazid for the Reversion of a Positive IFNg ELISPOT in TB Case Contacts,Completed,"Medical Research Council Unit, The Gambia","Philip C Hill, MPH FRACP",Principal Investigator,"Roger H Brookes, PhD",Principal Investigator,N/A,Interventional,NA,Tuberculosis,All,15 Years,N/A,Accepts Healthy Volunteers,"Medical Research Council Unit, The Gambia",Other,"ClinicalTrials.gov processed this data on July 26, 2017",June 2009,Actual,Actual,"Richard A Adegbola, PhD FRCPath",Study Chair,NA,NA,October 2004,"MRC Laboratories, Gambia",NA,NA,NA,NA,214,Actual,NA,NA,MRC Laboratories,"MRC laboratories, Gambia","MRC laboratories, Gambia",Qualitative IFN-g ELISPOT reversion,12 months,Quantitative IFN-g ELISPOT reversion,12 months,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PACTG P1041,NCT00080119,Daily Isoniazid to Prevent Tuberculosis in Infants Born to Mothers With HIV,"A Randomized, Double Blind, Placebo Controlled Trial to Determine the Efficacy of Isoniazid (INH) in Preventing Tuberculosis Disease and Latent Tuberculosis Infection Among Infants With Perinatal Exposure to HIV",Terminated,International Maternal Pediatric Adolescent AIDS Clinical Trials Group,"Shabir Madhi, MD",Study Chair,"George McSherry, MD",Study Chair,Phase 2/Phase 3,Interventional,NA,HIV Infection; Tuberculosis; Pneumocystis Jiroveci Pneumonia,All,91 Days,120 Days,Accepts Healthy Volunteers,International Maternal Pediatric Adolescent AIDS Clinical Trials Group,Other,"ClinicalTrials.gov processed this data on July 26, 2017",May 2009,Actual,Actual,"Charles D. Mitchell, MD",Study Chair,NA,NA,February 2004,"University of Witwatersrand, South Africa",National Institute of Allergy and Infectious Diseases (NIAID),NIH,NA,NA,1354,Actual,NA,NA,NA,UMDNJ - New Jersey Medical School,University of Miami,Time to Development of Tuberculosis (TB) Disease or Death Among HIV-infected Children,Through to week 96,"Time From Randomization to Development of TB Infection or Death Among Perinatally Exposed, HIV-uninfected Children",Through to week 96,Criteria for diagnosis with TB disease: Definite-isolation of Mycobacterium TB (M.tb) or +ve stain on cerebrospinal fluid (CSF); Probable- +ve acid fast bacilli (AFB) stain on fluids/tissues other than CSF and sufficient clinical criteria/radiographic evidence suggestive of TB; Possible-abnormal chest radiograph suggestive of pulmonary TB (PTB) and either a +ve tuberculin skin test (TST) or minimum score on algorithm for clinical TB. Records reviewed by Endpoint Review Group. Results report percent of participants reaching TB disease/death by week 96 calculated using the Kaplan-Meier method.,Criteria for diagnosis with TB infection were outlined in the protocol. TB infection included TB disease (see primary outcome measure 1 for definition) and latent TB infection. Latent TB infection was diagnosed by a positive tuberculin skin test (TST) based on a purified protein derivative (PPD) performed at week 96. Participant records were reviewed by an Endpoint Review Group to verify that participants had met the criteria for TB infection. Results report percent of participants reaching TB infection or death by week 96 calculated using the Kaplan-Meier method.,Comprehensive International Program of Research on AIDS,Other,Secure the Future Foundation,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FD-R-002135-01,NCT00082173,Moxifloxacin As Part of a Multi-Drug Regimen For Tuberculosis,Phase 2 Randomized Trial of a Moxifloxacin-Containing Regimen For Treatment of Smear-Positive Pulmonary Tuberculosis in Adults With and Without HIV Infection,Completed,Johns Hopkins University,"Richard E. Chaisson, MD",Principal Investigator,NA,NA,Phase 2,Interventional,NA,Tuberculosis,All,18 Years,N/A,No,Johns Hopkins University,Other,"ClinicalTrials.gov processed this data on July 26, 2017",September 2008,Actual,Actual,NA,NA,NA,NA,October 2004,Johns Hopkins University,NA,NA,NA,NA,170,Actual,NA,NA,Clementino Fraga Filho Hospital,NA,NA,Proportion of Patients With Sterile Sputum Cultures,8 weeks,NA,NA,Proportion of patients with sterile sputum cultures,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPCRA 004,NCT00000636,Prophylaxis Against Tuberculosis (TB) in Patients With Human Immunodeficiency Virus (HIV) Infection and Confirmed Latent Tuberculous Infection,Prophylaxis Against Tuberculosis (TB) in Patients With Human Immunodeficiency Virus (HIV) Infection and Confirmed Latent Tuberculous Infection,Completed,National Institute of Allergy and Infectious Diseases (NIAID),Gordin F,Study Chair,Brown LS,Study Chair,N/A,Interventional,2000,HIV Infections; Tuberculosis,All,13 Years,N/A,No,National Institute of Allergy and Infectious Diseases (NIAID),NIH,"ClinicalTrials.gov processed this data on July 26, 2017",October 1997,Actual,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACTG 177,NCT00000638,Preventive Treatment Against Tuberculosis (TB) in Patients With Human Immunodeficiency Virus (HIV) Infection and Confirmed Latent Tuberculous Infection,Prophylaxis Against Tuberculosis (TB) in Patients With Human Immunodeficiency Virus (HIV) Infection and Confirmed Latent Tuberculous Infection,Completed,National Institute of Allergy and Infectious Diseases (NIAID),Chaisson R,Study Chair,NA,NA,N/A,Interventional,2000,HIV Infections; Tuberculosis,All,13 Years,N/A,No,National Institute of Allergy and Infectious Diseases (NIAID),NIH,"ClinicalTrials.gov processed this data on July 26, 2017",September 1999,Actual,Actual,NA,NA,NA,NA,NA,NA,Hoechst Marion Roussel,Industry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lederle Laboratories,Industry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A5213,NCT00096850,"Safety, Tolerability, and Blood Levels of Ritonavir-Boosted Atazanavir and Rifampin When Taken Together in HIV Uninfected Adults","Safety, Tolerability, and Pharmacokinetic Interactions of Atazanavir and Rifampin in Healthy Volunteers",Completed,National Institute of Allergy and Infectious Diseases (NIAID),"David W. Haas, MD",Study Chair,NA,NA,N/A,Interventional,NA,HIV Infections; Tuberculosis,All,18 Years,55 Years,Accepts Healthy Volunteers,National Institute of Allergy and Infectious Diseases (NIAID),NIH,"ClinicalTrials.gov processed this data on July 26, 2017",December 2007,Actual,Actual,NA,NA,NA,NA,NA,"Infectious Diseases, Vanderbilt University Medical Center",AIDS Clinical Trials Group,Other,NA,NA,18,Actual,NA,NA,NA,NA,NA,Pharmacokinetic parameters of ritonavir (RTV)-boosted ATV when administered concurrently with RIF,Throughout study,Safety and tolerability of RTV-boosted ATV when coadministered with RIF,Throughout study,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19790.01,NCT00107887,TB (Tuberculosis) Preventive Therapy for HIV Patients With Access to HAART (Highly Active Antiretroviral Therapy),"Impact of TB Preventive Therapy for HIV/TB Co-infected Patients With Access to Highly Active Antiretroviral Therapy in Rio de Janeiro, Brazil: A Phased Implementation Trial",Completed,Johns Hopkins University,"Valeria Saraceni, MD",Study Director,"Richard E Chaisson, M.D.",Principal Investigator,Phase 4,Interventional,NA,Tuberculosis; HIV Infections,All,16 Years,N/A,No,Johns Hopkins University,Other,"ClinicalTrials.gov processed this data on July 26, 2017",December 2010,Actual,Actual,"Betina Durovni, M.D.",Study Chair,NA,NA,June 2005,City of Rio De Janeiro Municipal Health Secretariat,Consortium to Respond Effectively to the AIDS/Tuberculosis Epidemic,Other,NA,NA,17415,Actual,NA,NA,City of Rio De Janeiro Health Department Clinics,Johns Hopkins University,City of Rio de Janeiro Municipal Health Secretariat,Measured incidence of active TB in HIV clinic population before and following implementation of IPT policy,6 Years,Comparative impact of IPT (Isoniazid Preventive Therapy) and ARVs (antiretrovirals) on TB incidence in the HIV clinic population,6 Years,NA,NA,"Communicable Disease Program, Brazil",Other,Bill and Melinda Gates Foundation,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
